steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
25000	50	4242.644144773483	142.2916986524635	137.86714072885803	44.54360297079904	254.55945368220767	50.02768780640228	29.763866	29.761696	0.004862755262292922	0.00521953369025141	9000	-7.0103602	0.0027193885762244463
50000	100	8382.08497262001	149.90076637127603	141.4026503870179	34.74284566458449	255.5556557888068	54.842258445301276	32.24117	32.241222	0.010419705645181238	0.009856175840832293	19000	-7.409096	0.003087828401476145
75000	150	12524.758971691132	169.54961686366113	169.15960049556097	39.49730117861411	252.51853690007056	51.7472521744888	33.89989	33.89275	0.01791586953215301	0.018466073293238877	29000	-6.982706	0.004450114443898201
100000	200	16680.06897211075	163.25944335883693	160.0281289759137	36.59798224885414	247.7253750046651	35.21887837891037	35.714264	35.711674	0.03073895625770092	0.030705348458141088	39000	-7.037338	0.004911233205348253
125000	250	20832.570972681046	164.64636395096187	166.63409130672255	45.23207809969977	411.19822575062994	35.48260791742136	37.18009	37.177532	0.041587667502462865	0.03789494656026363	49000	-7.113668	0.0050359987653791904
150000	300	25636.641409635544	168.30878482786932	166.18055059887809	45.41412005940267	240.52381257164154	34.57137946915135	38.29507	38.30443	0.049639521613717076	0.045841926746070384	59000	-7.1321197	0.0055689336732029915
175000	350	30667.422206640244	199.6563321883956	218.8747784213047	37.335025182430016	246.4573775861328	64.17535304324464	40.238148	40.218674	0.050718228481709954	0.05053055979311466	69000	-6.914766	0.005508734844624996
200000	400	35251.26981973648	181.88331054360617	181.71618421206628	36.73739218945962	254.20808617208164	52.33989311026202	40.50235	40.49042	0.05726932119578123	0.05370732896029949	79000	-6.9447393	0.004815664608031511
225000	450	40248.31000709534	196.1745697171958	201.5521644395598	37.54828259833083	254.68237444086327	34.279666040344445	40.980835	40.977325	0.05273858290165663	0.04915682315826416	89000	-6.914755	0.005071006715297699
250000	500	45148.1558611393	210.57995148676378	224.40032674729034	31.951066693006346	294.62407080012764	34.478673398129374	41.78002	41.768116	0.06335072180256247	0.05745221482589841	99000	-7.100891	0.006115386728197336
275000	550	49737.14015460014	183.39994360782504	191.61218574589566	47.189165213660374	358.5676169006192	30.33428797169023	42.67187	42.678093	0.0573555763438344	0.05192094799131155	109000	-7.3038497	0.00560569716617465
300000	600	54842.383897304535	198.6219368801328	202.3144315786896	37.692897607180775	463.7964764938522	26.14532933016024	42.50117	42.500668	0.05344250984489918	0.05758961565792561	119000	-6.8004346	0.0051459213718771935
325000	650	59943.46569776535	207.46334976531247	218.4797276141625	43.68624423848043	456.1350171434259	45.54615773257702	42.203934	42.205887	0.05903119239956141	0.0586130828037858	129000	-7.1642494	0.005192442797124386
350000	700	64754.05991792679	206.4266640096603	221.13182899768051	89.96606901179007	465.14902064450905	14.766368226914434	42.77272	42.790485	0.06194741483777762	0.056857230886816976	139000	-7.1807003	0.005668717436492443
375000	750	69389.4840927124	301.2801622164736	233.37983727968282	139.2450128605346	479.24440621692423	38.72153235096215	44.007042	44.034103	0.0684183619916439	0.06521741926670074	149000	-7.265867	0.005907065235078335
400000	800	74239.30028486252	277.9513984305831	241.30708039262674	134.31812017558292	474.75241861931886	22.567071603963065	46.31443	46.317295	0.09384776275604963	0.08734458219259977	159000	-7.159737	0.007699626963585615
